Year,Block,Treatment,Precipitation,Productivity,Richness,Evenness,Diversity
2009,1,Low_fertility,867,6112,21,0.233440995,4.902260899
2009,1,High_fertility,867,8272,15,0.24442811,3.666421643
2009,2,Low_fertility,867,6249,19,0.225590548,4.286220405
2009,2,High_fertility,867,9003,14,0.306019708,4.284275912
2009,3,Low_fertility,867,7271,22,0.221326561,4.869184347
2009,3,High_fertility,867,9043,17,0.240735856,4.092509547
2009,4,Low_fertility,867,6757,19,0.235427366,4.473119957
2009,4,High_fertility,867,7981,16,0.238221665,3.811546641
2010,1,Low_fertility,1467,7911,23,0.175009949,4.025228826
2010,1,High_fertility,1467,11497,10,0.401557462,4.015574624
2010,2,Low_fertility,1467,7399,24,0.178690687,4.288576492
2010,2,High_fertility,1467,11450,16,0.265046209,4.240739339
2010,3,Low_fertility,1467,7305,19,0.225231845,4.279405055
2010,3,High_fertility,1467,11860,14,0.267576181,3.746066528
2010,4,Low_fertility,1467,8280,20,0.188276936,3.765538726
2010,4,High_fertility,1467,12103,12,0.229863683,2.758364199
2011,1,Low_fertility,760,5270,23,0.177227937,4.076242558
2011,1,High_fertility,760,6035,18,0.286821024,5.162778436
2011,2,Low_fertility,760,5367,21,0.178063613,3.739335869
2011,2,High_fertility,760,6398,14,0.374714221,5.245999095
2011,3,Low_fertility,760,4819,19,0.193487235,3.676257462
2011,3,High_fertility,760,6040,18,0.29763427,5.357416863
2011,4,Low_fertility,760,5330,20,0.170708728,3.414174551
2011,4,High_fertility,760,6315,17,0.302316519,5.44169735
2012,1,Low_fertility,675,2462,,,
2012,1,High_fertility,675,5144,,,
2012,2,Low_fertility,675,2711,,,
2012,2,High_fertility,675,4823,,,
2012,3,Low_fertility,675,2790,,,
2012,3,High_fertility,675,4802,,,
2012,4,Low_fertility,675,3072,,,
2012,4,High_fertility,675,6024,,,
2013,1,Low_fertility,696,4059,,,
2013,1,High_fertility,696,6735,,,
2013,2,Low_fertility,696,4249,,,
2013,2,High_fertility,696,7518,,,
2013,3,Low_fertility,696,4328,,,
2013,3,High_fertility,696,7088,,,
2013,4,Low_fertility,696,4392,,,
2013,4,High_fertility,696,7260,,,
2014,1,Low_fertility,983,,22,0.120026201,2.640576428
2014,1,High_fertility,983,9858,18,0.119944285,2.158997131
2014,2,Low_fertility,983,7168,24,0.088868311,2.132839452
2014,2,High_fertility,983,10812,15,0.113577733,1.703665998
2014,3,Low_fertility,983,2562,26,0.073507963,1.911207027
2014,3,High_fertility,983,8496,19,0.101798066,1.934163256
2014,4,Low_fertility,983,5614,20,0.110891022,2.217820442
2014,4,High_fertility,983,8540,23,0.103469457,2.379797515
2015,1,Low_fertility,1050,4022,25,0.105399402,2.634985049
2015,1,High_fertility,1050,7688,18,0.09109933,1.639787948
2015,2,Low_fertility,1050,4204,19,0.079188629,1.504583952
2015,2,High_fertility,1050,6467,13,0.130173038,1.692249499
2015,3,Low_fertility,1050,4535,17,0.086406162,1.468904747
2015,3,High_fertility,1050,7284,11,0.14289813,1.571879432
2015,4,Low_fertility,1050,4940,29,0.105467376,3.058553916
2015,4,High_fertility,1050,7155,21,0.096061046,2.017281972
2016,1,Low_fertility,1102,3625,,,
2016,1,High_fertility,1102,16206,,,
2016,2,Low_fertility,1102,7344,,,
2016,2,High_fertility,1102,13727,,,
2016,3,Low_fertility,1102,3594,,,
2016,3,High_fertility,1102,7220,,,
2016,4,Low_fertility,1102,3687,,,
2016,4,High_fertility,1102,7375,,,
2017,1,Low_fertility,761,2118,26,0.093083419,2.420168901
2017,1,High_fertility,761,5447,13,0.188760542,2.453887045
2017,2,Low_fertility,761,2455,25,0.086121089,2.153027224
2017,2,High_fertility,761,7197,17,0.134683427,2.289618251
2017,3,Low_fertility,761,2692,25,0.09273412,2.318352996
2017,3,High_fertility,761,5099,13,0.197128507,2.562670591
2017,4,Low_fertility,761,2333,26,0.111201837,2.891247757
2017,4,High_fertility,761,4984,12,0.196299094,2.355589123
