Year_Block_Treatment,Year,Block,Treatment,Amaranthus_retroflexus,Ambrosia_artemisiifolia,Amorpha_canescens,Andropogon_gerardii,Asclepias_syriaca,Asclepias_tuberosa,Aster_ericoides,Aster_praealtus ,Astragalus_canadensis,Baptisia_alba,Bromus_inermis,Chamaecrista_fasciculata,Chenopodium_album,Cirsium_arvense,Conyza_canadensis,Dalea_purpureum,Desmanthus_illinoensis,Desmodium_canadensis,Echinacea_pallida,Echinochloa_crusgalli,Elymus_canadensis,Eryngium_yuccifolium,Euphorbia_dentata,Helianthis_laetiflorus,Helianthis_maximilliani,Heliopsis_helianthoides,Lactuca_serriola,Lespedeza_capitata,Liatris_pycnostachya,Medicago_lupulina,Melilotus_albus,Melilotus_officinalis,Monarda_fistulosa,Muhlenbergia_frondosa,Other,Oxalis_stricta,Panicum_virgatum,Phleum_pratense,Physalis_subglabrata,Poa_pratensis,Populus_deltoides,Pycnanthemum_virginianum,Ratibida_pinnata,Rudbeckia_hirta,Schizachyrium_scoparium,Setaria_faberi,Silphium_integrifolium,Silphium_lactinatum,Solanum_ptycanthum,Solidago_canadensis,Solidago_rigida,Sonchus_asper,Sorghastrum_nutans,Sporobolus_heterolepis,Taraxacum_officinale,Tradescantia_ohiensis,Trifolium_hybridum,Trifolium_pratense,Vernonia_fasciculata,Veronicastrum_virginicum
2009_1_Low,2009,1,Low_fertility,0,0.002604167,0,1.375,0,0.002604167,0,0,0.002604167,0,0,0,0,0,0,0.005208333,0.005208333,0.067708333,0,0,1.145833333,0,0,0.005208333,0.09375,0.0703125,0,0.0078125,0,0,0,0,0.044270833,0.002604167,0.013020833,0,1.333333333,0,0,0.002604167,0,0,0.3125,0.0546875,0,0,0,0.002604167,0,0,0,0,1.677083333,0,0,0,0,0,0,0.002604167
2009_1_High,2009,1,High_fertility,0.002604167,0,0,2.15625,0,0.0078125,0,0,0.002604167,0,0,0,0,0,0,0,0,0.002604167,0,0,3.947916667,0,0,0,0.106770833,0.0546875,0,0.005208333,0,0,0,0,0.010416667,0,0,0,1.802083333,0,0.013020833,0,0,0,0.130208333,0.111979167,0,0,0,0,0,0,0,0,1.90625,0,0,0,0,0,0,0
2009_2_Low,2009,2,Low_fertility,0,0,0.002604167,2.291666667,0,0.020833333,0,0,0,0,0,0,0,0,0.002604167,0.049479167,0.0078125,0.005208333,0,0,1.833333333,0,0,0,0.041666667,0.002604167,0,0.010416667,0,0,0,0,0.036458333,0,0.002604167,0,1.6875,0,0,0,0,0,0.130208333,0.033854167,0.020833333,0,0,0,0,0,0,0,1.40625,0,0.002604167,0,0,0,0.0078125,0
2009_2_High,2009,2,High_fertility,0,0,0,2.40625,0,0.0234375,0,0,0,0,0,0,0,0,0,0,0.002604167,0.005208333,0,0,4.53125,0,0,0,0.104166667,0.059895833,0,0.002604167,0,0,0,0,0.1015625,0,0,0,2.697916667,0,0,0,0,0,0.432291667,0.255208333,0,0,0,0,0,0,0,0,2.260416667,0,0,0,0,0,0.041666667,0
2009_3_Low,2009,3,Low_fertility,0,0.003472222,0,1.819444444,0,0.041666667,0,0,0.03125,0,0.003472222,0,0,0,0,0.006944444,0.003472222,0.065972222,0,0,1.736111111,0,0,0.027777778,0.027777778,0.024305556,0,0.006944444,0,0,0,0,0.024305556,0,0.013888889,0,1.847222222,0,0.006944444,0,0.003472222,0,0.420138889,0.083333333,0,0,0,0.003472222,0,0,0,0,1.444444444,0,0,0,0,0,0.003472222,0
2009_3_High,2009,3,High_fertility,0,0,0,2.604166667,0,0.0078125,0,0,0,0,0,0,0,0,0,0.002604167,0.002604167,0.015625,0,0,3.9375,0,0,0.002604167,0.080729167,0.1875,0,0.013020833,0,0,0,0,0.119791667,0,0,0,1.697916667,0,0.002604167,0,0,0,0.184895833,0.143229167,0,0,0,0,0,0,0,0,1.770833333,0,0,0,0,0,0.010416667,0
2009_4_Low,2009,4,Low_fertility,0,0,0.005208333,2.208333333,0.002604167,0.065104167,0,0,0,0,0,0,0,0,0,0.036458333,0.015625,0.026041667,0,0,1.71875,0,0,0.013020833,0.026041667,0.0390625,0,0.013020833,0,0,0,0,0.015625,0,0.002604167,0,1.666666667,0,0,0,0,0,0.1171875,0.049479167,0,0,0,0,0,0,0.041666667,0,1.5625,0,0,0,0,0,0.0234375,0
2009_4_High,2009,4,High_fertility,0,0,0,2.604166667,0,0.0390625,0,0,0,0,0,0,0,0.010416667,0,0,0,0.041666667,0,0,3.875,0,0,0.010416667,0.026041667,0.018229167,0,0,0,0,0,0,0.046875,0,0,0.002604167,1.333333333,0,0.002604167,0,0,0,0.174479167,0.169270833,0,0,0,0,0,0,0.002604167,0,1.697916667,0,0,0,0,0,0,0
2010_1_Low,2010,1,Low_fertility,0,0,0.002604167,1.614583333,0,0.002604167,0,0,0.020833333,0,0,0,0,0,0,0.010416667,0.013020833,0.0859375,0,0,0.5,0,0,0.020833333,0,0.026041667,0,0.002604167,0,0,0,0,0.125,0,0,0,0.6875,0.002604167,0.002604167,0,0.002604167,0,0.0625,0.018229167,0,0,0,0,0,0,0.002604167,0,1.385416667,0,0.002604167,0.002604167,0,0,0.015625,0
2010_1_High,2010,1,High_fertility,0,0,0,0.864583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018229167,0,0,2.25,0,0,0.0234375,0.135416667,0.450520833,0,0,0,0,0,0,0.200520833,0,0,0,0.333333333,0,0,0,0,0,0.3984375,0,0,0,0,0,0,0,0,0,0.453125,0,0,0,0,0,0,0
