Year_Block_Treatment,Year,Block,Treatment,Amaranthus_retroflexus,Ambrosia_artemisiifolia,Amorpha_canescens,Andropogon_gerardii,Asclepias_syriaca,Asclepias_tuberosa,Aster_ericoides,Aster_praealtus_,Astragalus_canadensis,Baptisia_alba,Bromus_inermis,Chamaecrista_fasciculata,Chenopodium_album,Cirsium_arvense,Conyza_canadensis,Dalea_purpureum,Desmanthus_illinoensis,Desmodium_canadensis,Echinacea_pallida,Echinochloa_crusgalli,Elymus_canadensis,Eryngium_yuccifolium,Euphorbia_dentata,Helianthis_laetiflorus,Helianthis_maximilliani,Heliopsis_helianthoides,Lactuca_serriola,Lespedeza_capitata,Liatris_pycnostachya,Medicago_lupulina,Melilotus_albus,Melilotus_officinalis,Monarda_fistulosa,Muhlenbergia_frondosa,Oxalis_stricta,Panicum_virgatum,Phleum_pratense,Physalis_subglabrata,Poa_pratensis,Populus_deltoides,Pycnanthemum_virginianum,Ratibida_pinnata,Rudbeckia_hirta,Schizachyrium_scoparium,Setaria_faberi,Silphium_integrifolium,Silphium_lactinatum,Solanum_ptycanthum,Solidago_canadensis,Solidago_rigida,Sonchus_asper,Sorghastrum_nutans,Sporobolus_heterolepis,Taraxacum_officinale,Tradescantia_ohiensis,Trifolium_hybridum,Trifolium_pratense,Vernonia_fasciculata,Veronicastrum_virginicum
2009_1_Low,2009,1,Low_fertility,0,0.000418936,0,0.221198157,0,0.000418936,0,0,0.000418936,0,0,0,0,0,0,0.000837872,0.000837872,0.010892333,0,0,0.184331797,0,0,0.000837872,0.015081693,0.011311269,0,0.001256808,0,0,0,0,0.00712191,0.000418936,0,0.214495182,0,0,0.000418936,0,0,0.050272308,0.008797654,0,0,0,0.000418936,0,0,0,0,0.269794721,0,0,0,0,0,0,0.000418936
2009_1_High,2009,1,High_fertility,0.000253807,0,0,0.210152284,0,0.000761421,0,0,0.000253807,0,0,0,0,0,0,0,0,0.000253807,0,0,0.384771574,0,0,0,0.010406091,0.005329949,0,0.000507614,0,0,0,0,0.001015228,0,0,0.175634518,0,0.001269036,0,0,0,0.012690355,0.010913706,0,0,0,0,0,0,0,0,0.185786802,0,0,0,0,0,0,0
2009_2_Low,2009,2,Low_fertility,0,0,0.000342936,0.301783265,0,0.002743484,0,0,0,0,0,0,0,0,0.000342936,0.006515775,0.001028807,0.000685871,0,0,0.241426612,0,0,0,0.005486968,0.000342936,0,0.001371742,0,0,0,0,0.004801097,0,0,0.222222222,0,0,0,0,0,0.017146776,0.004458162,0.002743484,0,0,0,0,0,0,0,0.185185185,0,0.000342936,0,0,0,0.001028807,0
2009_2_High,2009,2,High_fertility,0,0,0,0.186177715,0,0.001813419,0,0,0,0,0,0,0,0,0,0,0.000201491,0.000402982,0,0,0.350594399,0,0,0,0.008059641,0.004634294,0,0.000201491,0,0,0,0,0.00785815,0,0,0.208744711,0,0,0,0,0,0.033447512,0.019746121,0,0,0,0,0,0,0,0,0.174894217,0,0,0,0,0,0.003223857,0
2009_3_Low,2009,3,Low_fertility,0,0.000454752,0,0.238290132,0,0.005457026,0,0,0.004092769,0,0.000454752,0,0,0,0,0.000909504,0.000454752,0.008640291,0,0,0.22737608,0,0,0.003638017,0.003638017,0.003183265,0,0.000909504,0,0,0,0,0.003183265,0,0,0.241928149,0,0.000909504,0,0.000454752,0,0.055025011,0.010914052,0,0,0,0.000454752,0,0,0,0,0.189176899,0,0,0,0,0,0.000454752,0
2009_3_High,2009,3,High_fertility,0,0,0,0.241487563,0,0.000724463,0,0,0,0,0,0,0,0,0,0.000241488,0.000241488,0.001448925,0,0,0.365129196,0,0,0.000241488,0.007486114,0.017387105,0,0.001207438,0,0,0,0,0.011108428,0,0,0.157449891,0,0.000241488,0,0,0,0.017145617,0.013281816,0,0,0,0,0,0,0,0,0.164211543,0,0,0,0,0,0.00096595,0
2009_4_Low,2009,4,Low_fertility,0,0,0.000681199,0.288828338,0.000340599,0.008514986,0,0,0,0,0,0,0,0,0,0.004768392,0.002043597,0.003405995,0,0,0.22479564,0,0,0.001702997,0.003405995,0.005108992,0,0.001702997,0,0,0,0,0.002043597,0,0,0.217983651,0,0,0,0,0,0.015326975,0.00647139,0,0,0,0,0,0,0.005449591,0,0.204359673,0,0,0,0,0,0.003065395,0
2009_4_High,2009,4,High_fertility,0,0,0,0.259000259,0,0.003885004,0,0,0,0,0,0,0,0.001036001,0,0,0,0.004144004,0,0,0.385392385,0,0,0.001036001,0.002590003,0.001813002,0,0,0,0,0,0,0.004662005,0,0.000259,0.132608133,0,0.000259,0,0,0,0.017353017,0.016835017,0,0,0,0,0,0,0.000259,0,0.168868169,0,0,0,0,0,0,0
2010_1_Low,2010,1,Low_fertility,0,0,0.000564972,0.350282486,0,0.000564972,0,0,0.004519774,0,0,0,0,0,0,0.002259887,0.002824859,0.018644068,0,0,0.108474576,0,0,0.004519774,0,0.005649718,0,0.000564972,0,0,0,0,0.027118644,0,0,0.149152542,0.000564972,0.000564972,0,0.000564972,0,0.013559322,0.003954802,0,0,0,0,0,0,0.000564972,0,0.300564972,0,0.000564972,0.000564972,0,0,0.003389831,0
2010_1_High,2010,1,High_fertility,0,0,0,0.168613509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003555104,0,0,0.438801422,0,0,0.004570848,0.026409345,0.087861859,0,0,0,0,0,0,0.039106145,0,0,0.065007618,0,0,0,0,0,0.077704418,0,0,0,0,0,0,0,0,0,0.088369731,0,0,0,0,0,0,0
2010_2_Low,2010,2,Low_fertility,0,0,0.000524659,0.323189927,0,0.002623295,0,0.000524659,0.006295908,0,0,0,0,0,0,0.008394544,0.001573977,0.004197272,0,0,0.11752361,0.000524659,0,0.004721931,0.004197272,0.001049318,0,0.005771249,0,0.000524659,0,0,0.001573977,0,0,0.182581322,0,0,0,0.004197272,0,0.031479538,0.004197272,0,0,0,0,0,0,0.000524659,0,0.283315845,0,0.002623295,0,0,0,0.007869885,0
